qa_id,source_arxiv_id,source_title,template_type,question,intended_condition,forced_context_id,distractor_strategy,notes
2309.01431__method,2309.01431,Benchmarking Large Language Models in Retrieval-Augmented Generation,method,"What method or approach does the paper ""Benchmarking Large Language Models in Retrieval-Augmented Generation"" propose?",well_supported,,,
2309.01431__dataset,2309.01431,Benchmarking Large Language Models in Retrieval-Augmented Generation,dataset,"What dataset(s) or benchmark(s) does the paper ""Benchmarking Large Language Models in Retrieval-Augmented Generation"" use?",well_supported,,,
2309.01431__finding,2309.01431,Benchmarking Large Language Models in Retrieval-Augmented Generation,finding,"What is the main finding or result reported in the paper ""Benchmarking Large Language Models in Retrieval-Augmented Generation""?",well_supported,,,
2601.16397__method,2601.16397,From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summa…,method,"What method or approach does the paper ""From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summarization"" propose?",poorly_supported,2503.08890,similar,
2601.16397__dataset,2601.16397,From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summa…,dataset,"What dataset(s) or benchmark(s) does the paper ""From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summarization"" use?",poorly_supported,2503.08890,similar,
2601.16397__finding,2601.16397,From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summa…,finding,"What is the main finding or result reported in the paper ""From Attribution to Abstention: Training-Free Attention-Based Auditing for Clinical Summarization""?",poorly_supported,2406.03790,dissimilar,
2411.19203__method,2411.19203,An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text …,method,"What method or approach does the paper ""An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text Generation"" propose?",poorly_supported,2603.06290,dissimilar,
2411.19203__dataset,2411.19203,An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text …,dataset,"What dataset(s) or benchmark(s) does the paper ""An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text Generation"" use?",well_supported,,,
2411.19203__finding,2411.19203,An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text …,finding,"What is the main finding or result reported in the paper ""An Extensive Evaluation of Factual Consistency in Large Language Models for Data-to-Text Generation""?",well_supported,,,
2606.03728__method,2606.03728,Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA,method,"What method or approach does the paper ""Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA"" propose?",well_supported,,,
2606.03728__dataset,2606.03728,Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA,dataset,"What dataset(s) or benchmark(s) does the paper ""Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA"" use?",well_supported,,,
2606.03728__finding,2606.03728,Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA,finding,"What is the main finding or result reported in the paper ""Re-Ranking Through an Attribution Lens for Citation Quality in Legal QA""?",poorly_supported,2509.20859,similar,
